,district,weather,time_slot,risk_high,risk_medium,risk_low,cause
59,永康區,陰,14.0,[],[151889],"[155269, 183818, 147211, 165872, 166391, 178652, 165116, 152734, 188030]","[5, 1, 6]"
60,永康區,陰,13.0,[],[],"[192673, 170978, 177410, 185876, 185445, 187178, 169343]","[1, 8, 2]"
61,永康區,陰,20.0,[],[],"[168418, 146364, 175735]","[2, 1, 8]"
62,永康區,陰,21.0,[],[],"[153147, 149756, 159983]","[2, 5, 8]"
63,永康區,陰,22.0,[],[156145],"[148484, 185509, 185512, 164691, 196920]","[2, 5, 6]"
64,永康區,陰,6.0,[],[],"[174865, 149331, 173142, 190508, 200381]","[8, 5, 2]"
65,永康區,陰,23.0,[],[],[165871],"[2, 1, 5]"
66,永康區,陰,0.0,[],[],[148909],"[6, 2, 5]"
67,永康區,陰,5.0,[],[],[],"[1, 2, 6]"
68,永康區,陰,1.0,[],[],[161258],"[5, 6, 2]"
69,永康區,陰,4.0,[],[],[],[5]
70,永康區,陰,2.0,[],[],[],"[3, 2]"
71,永康區,陰,3.0,[],[],[164686],[7]
72,永康區,霧或煙,17.0,[],[],[],[]
73,永康區,霧或煙,7.0,[],[],[161260],[2]
74,永康區,霧或煙,8.0,[],[],[],[]
75,永康區,霧或煙,18.0,[],[],[],[]
76,永康區,霧或煙,16.0,[],[],[],[]
77,永康區,霧或煙,11.0,[],[],[],[]
78,永康區,霧或煙,12.0,[],[],[],[]
79,永康區,霧或煙,10.0,[],[],[],[]
80,永康區,霧或煙,15.0,[],[],[],[]
81,永康區,霧或煙,9.0,[],[],[],[]
82,永康區,霧或煙,19.0,[],[],[],[]
83,永康區,霧或煙,14.0,[],[],[],[]
84,永康區,霧或煙,13.0,[],[],[],[]
85,永康區,霧或煙,20.0,[],[],[],[]
86,永康區,霧或煙,21.0,[],[],[],[]
87,永康區,霧或煙,22.0,[],[],[],[]
88,永康區,霧或煙,6.0,[],[],[],[6]
89,永康區,霧或煙,23.0,[],[],[],[]
90,永康區,霧或煙,0.0,[],[],[],[]
91,永康區,霧或煙,5.0,[],[],[],[2]
92,永康區,霧或煙,1.0,[],[],[],[]
93,永康區,霧或煙,4.0,[],[],[],[]
94,永康區,霧或煙,2.0,[],[],[],[]
95,永康區,霧或煙,3.0,[],[],[],[]
96,永康區,暴雨,17.0,[],[],[167143],"[6, 1]"
97,永康區,暴雨,7.0,[],[],[],"[1, 2, 3]"
98,永康區,暴雨,8.0,[],[],[],[]
99,永康區,暴雨,18.0,[],[],[],[6]
100,永康區,暴雨,16.0,[],[],[192707],"[1, 5, 2]"
101,永康區,暴雨,11.0,[],[],[],[2]
102,永康區,暴雨,12.0,[],[],[],[]
103,永康區,暴雨,10.0,[],[],[],[]
104,永康區,暴雨,15.0,[],[],[],[6]
105,永康區,暴雨,9.0,[],[],[],[2]
106,永康區,暴雨,19.0,[],[],[],[1]
107,永康區,暴雨,14.0,[],[],[],[]
108,永康區,暴雨,13.0,[],[],[],[]
109,永康區,暴雨,20.0,[],[],[151038],"[2, 7]"
110,永康區,暴雨,21.0,[],[],[],[]
111,永康區,暴雨,22.0,[],[],[172338],"[8, 3]"
112,永康區,暴雨,6.0,[],[],[],[]
113,永康區,暴雨,23.0,[],[],[],[]
114,永康區,暴雨,0.0,[],[],[],[]
115,永康區,暴雨,5.0,[],[],[],[]
116,永康區,暴雨,1.0,[],[],[],[]
117,永康區,暴雨,4.0,[],[],[],[]
118,永康區,暴雨,2.0,[],[],[],[]
119,永康區,暴雨,3.0,[],[],[],[]
120,永康區,強風,17.0,[],[],[],[]
121,永康區,強風,7.0,[],[],[],[]
122,永康區,強風,8.0,[],[],[],[]
123,永康區,強風,18.0,[],[],[],[]
124,永康區,強風,16.0,[],[],[],[6]
125,永康區,強風,11.0,[],[],[],[]
126,永康區,強風,12.0,[],[],[],[]
127,永康區,強風,10.0,[],[],[],[]
128,永康區,強風,15.0,[],[],[],[]
129,永康區,強風,9.0,[],[],[],[8]
130,永康區,強風,19.0,[],[],[],[2]
131,永康區,強風,14.0,[],[],[],[]
132,永康區,強風,13.0,[],[],[],[]
133,永康區,強風,20.0,[],[],[],[]
134,永康區,強風,21.0,[],[],[],[]
135,永康區,強風,22.0,[],[],[],[]
136,永康區,強風,6.0,[],[],[],[]
137,永康區,強風,23.0,[],[],[],[]
138,永康區,強風,0.0,[],[],[],[]
139,永康區,強風,5.0,[],[],[],[]
140,永康區,強風,1.0,[],[],[],[]
141,永康區,強風,4.0,[],[],[],[]
142,永康區,強風,2.0,[],[],[],[]
143,永康區,強風,3.0,[],[],[],[]
144,永康區,風沙,17.0,[],[],[],[]
145,永康區,風沙,7.0,[],[],[],[]
146,永康區,風沙,8.0,[],[],[],[]
147,永康區,風沙,18.0,[],[],[],[]
148,永康區,風沙,16.0,[],[],[],[]
149,永康區,風沙,11.0,[],[],[],[]
150,永康區,風沙,12.0,[],[],[],[]
151,永康區,風沙,10.0,[],[],[],[]
152,永康區,風沙,15.0,[],[],[],[]
153,永康區,風沙,9.0,[],[],[],[]
154,永康區,風沙,19.0,[],[],[],[]
155,永康區,風沙,14.0,[],[],[],[]
156,永康區,風沙,13.0,[],[],[],[]
